Критерий,Список (List),Массив (Array),Словарь (Dictionary/Hash Map)
📌 Основное назначение,Хранение последовательности шагов,Фиксированный набор категорий,Быстрый поиск по ключу (цвету зоны)
⚡ Скорость доступа,O(n) - линейный поиск,O(1) - по индексу,O(1) - по ключу
🔍 Поиск элемента,Медленный (перебор всех элементов),Быстрый (только по индексу),Очень быстрый (по цвету/названию)
💾 Использование памяти,Среднее,Минимальное,Высокое (хранит ключи и значения)
➕ Добавление элементов,Легко (динамический размер),Сложно (фиксированный размер),Очень легко (добавить новый ключ)
❌ Удаление элементов,Средне (нужно найти и сдвинуть),Сложно (пробелы в массиве),Легко (удалить ключ)
📊 Сохранение порядка,"✅ Да, порядок сохраняется","✅ Да, порядок фиксирован",⚠️ Зависит от реализации (в Python 3.7+ сохраняется)
** Гибкость данных**,Высокая (можно хранить разные типы),Низкая (обычно один тип данных),Высокая (ключ-значение любой сложности)
🔗 Отражение иерархии,Слабое (плоская структура),Слабое (плоская структура),Отличное (вложенные словари для уровней)
👨‍ Простота реализации,Очень простая,Простая,Средняя (нужно продумать ключи)
🔄 Итерация (перебор),Удобная,Удобная,Удобная (по ключам или значениям)
📝 Читаемость кода,Хорошая,Хорошая,Отличная (ключи как имена)
